trip_id,origin_area,destination_area,route_1_name,route_1_dist_km,route_1_base_time_min,route_1_hotspot,route_1_clearance_delay_min,route_1_total_time_min,route_2_name,route_2_dist_km,route_2_base_time_min,route_2_hotspot,route_2_clearance_delay_min,route_2_total_time_min,recommended_route,time_saved_min,highlighted_heavy_traffic_area,actionable_recommendation
TRIP-081,Koramangala,Whitefield,via Marathahalli ORR,13.5,38.5,Marathahalli Multiplex,21.8,60.3,via Varthur Road,14.5,37.7,HAL Airport Road,20.2,57.9,via Varthur Road,2.4,Marathahalli Multiplex (via Marathahalli ORR),Take via Varthur Road (2.4 mins faster). Avoid Marathahalli Multiplex due to clearance backlog.
TRIP-082,Indiranagar,Electronic City,via Hosur Road Flyover,13.1,34.5,Silk Board Junction,20,54.5,via Bannerghatta Road,15.1,39.9,Madiwala Market,24,63.9,via Hosur Road Flyover,9.4,Madiwala Market (via Bannerghatta Road),Take via Hosur Road Flyover (9.4 mins faster). Heavy clearance delay at Madiwala Market.
TRIP-083,Hebbal,MG Road,via Bellary Road,23.6,75.4,Mekhri Circle,15.1,90.5,via JC Nagar Main Rd,27.3,56.2,Cantonment Station,5.6,61.8,via JC Nagar Main Rd,28.7,Mekhri Circle (via Bellary Road),Take via JC Nagar Main Rd (28.7 mins faster). Avoid Mekhri Circle due to clearance backlog.
TRIP-084,HSR Layout,Manyata Tech Park,via Outer Ring Road,13,31.4,Tin Factory,22.1,53.5,via Old Airport Rd & Suranjandas Rd,14.1,31.5,Kasturi Nagar,15.7,47.2,via Old Airport Rd & Suranjandas Rd,6.3,Tin Factory (via Outer Ring Road),Take via Old Airport Rd & Suranjandas Rd (6.3 mins faster). Avoid Tin Factory due to clearance backlog.
TRIP-085,Jayanagar,ITPL,via Silk Board & ORR,21.1,62,Silk Board Junction,20.6,82.6,via Domlur & HAL,23.8,65,Domlur Flyover,2.4,67.4,via Domlur & HAL,15.2,Silk Board Junction (via Silk Board & ORR),Take via Domlur & HAL (15.2 mins faster). Avoid Silk Board Junction due to clearance backlog.
TRIP-086,Banashankari,Rajajinagar,via West of Chord Rd,23.6,66.6,Kanankapura Signal,21.8,88.4,via Mysore Road & Magadi Rd,26.9,59.8,Town Hall,16.2,76,via Mysore Road & Magadi Rd,12.4,Kanankapura Signal (via West of Chord Rd),Take via Mysore Road & Magadi Rd (12.4 mins faster). Avoid Kanankapura Signal due to clearance backlog.
TRIP-087,BTM Layout,Yelahanka,via Hebbal Expressway,17,41.9,Hebbal Flyover,16.7,58.6,via Outer Ring Road West,18.6,42.6,Goraguntepalya,10.1,52.7,via Outer Ring Road West,5.9,Hebbal Flyover (via Hebbal Expressway),Take via Outer Ring Road West (5.9 mins faster). Avoid Hebbal Flyover due to clearance backlog.
TRIP-088,Marathahalli,Kengeri,via Mysore Road Expressway,23.8,75,Nayandahalli,24,99,via NICE Road,28.9,74.6,NICE Junction,19.2,93.8,via NICE Road,5.2,Nayandahalli (via Mysore Road Expressway),Take via NICE Road (5.2 mins faster). Avoid Nayandahalli due to clearance backlog.
TRIP-089,Koramangala,Whitefield,via Marathahalli ORR,24.1,54.1,Marathahalli Multiplex,28,82.1,via Varthur Road,29.5,59.6,HAL Airport Road,11.1,70.7,via Varthur Road,11.4,Marathahalli Multiplex (via Marathahalli ORR),Take via Varthur Road (11.4 mins faster). Avoid Marathahalli Multiplex due to clearance backlog.
TRIP-090,Indiranagar,Electronic City,via Hosur Road Flyover,22.5,52.9,Silk Board Junction,20.9,73.8,via Bannerghatta Road,28.1,69.6,Madiwala Market,18.3,87.9,via Hosur Road Flyover,14.1,Madiwala Market (via Bannerghatta Road),Take via Hosur Road Flyover (14.1 mins faster). Heavy clearance delay at Madiwala Market.
TRIP-091,Hebbal,MG Road,via Bellary Road,22.8,51.6,Mekhri Circle,19.6,71.2,via JC Nagar Main Rd,26.5,53.8,Cantonment Station,16,69.8,via JC Nagar Main Rd,1.4,Mekhri Circle (via Bellary Road),Take via JC Nagar Main Rd (1.4 mins faster). Avoid Mekhri Circle due to clearance backlog.
TRIP-092,HSR Layout,Manyata Tech Park,via Outer Ring Road,23.2,74.2,Tin Factory,19.6,93.8,via Old Airport Rd & Suranjandas Rd,28.1,78.6,Kasturi Nagar,17.9,96.5,via Outer Ring Road,2.7,Kasturi Nagar (via Old Airport Rd & Suranjandas Rd),Take via Outer Ring Road (2.7 mins faster). Heavy clearance delay at Kasturi Nagar.
TRIP-093,Jayanagar,ITPL,via Silk Board & ORR,24.3,59.5,Silk Board Junction,11.9,71.4,via Domlur & HAL,29.6,69.9,Domlur Flyover,22.1,92,via Silk Board & ORR,20.6,Domlur Flyover (via Domlur & HAL),Take via Silk Board & ORR (20.6 mins faster). Heavy clearance delay at Domlur Flyover.
TRIP-094,Banashankari,Rajajinagar,via West of Chord Rd,24.4,59.3,Kanankapura Signal,12.8,72.1,via Mysore Road & Magadi Rd,28.6,72.6,Town Hall,7.4,80,via West of Chord Rd,7.9,Town Hall (via Mysore Road & Magadi Rd),Take via West of Chord Rd (7.9 mins faster). Heavy clearance delay at Town Hall.
TRIP-095,BTM Layout,Yelahanka,via Hebbal Expressway,16.7,48,Hebbal Flyover,11.1,59.1,via Outer Ring Road West,17.9,43.3,Goraguntepalya,5.3,48.6,via Outer Ring Road West,10.5,Hebbal Flyover (via Hebbal Expressway),Take via Outer Ring Road West (10.5 mins faster). Avoid Hebbal Flyover due to clearance backlog.
TRIP-096,Marathahalli,Kengeri,via Mysore Road Expressway,18.8,51.7,Nayandahalli,15.5,67.2,via NICE Road,22.9,56.1,NICE Junction,16.7,72.8,via Mysore Road Expressway,5.6,NICE Junction (via NICE Road),Take via Mysore Road Expressway (5.6 mins faster). Heavy clearance delay at NICE Junction.
TRIP-097,Koramangala,Whitefield,via Marathahalli ORR,13.7,40.5,Marathahalli Multiplex,12.8,53.3,via Varthur Road,14.5,36.2,HAL Airport Road,12.2,48.4,via Varthur Road,4.9,Marathahalli Multiplex (via Marathahalli ORR),Take via Varthur Road (4.9 mins faster). Avoid Marathahalli Multiplex due to clearance backlog.
TRIP-098,Indiranagar,Electronic City,via Hosur Road Flyover,14.8,32.8,Silk Board Junction,19.5,52.3,via Bannerghatta Road,15.9,36.3,Madiwala Market,19.1,55.4,via Hosur Road Flyover,3.1,Madiwala Market (via Bannerghatta Road),Take via Hosur Road Flyover (3.1 mins faster). Heavy clearance delay at Madiwala Market.
TRIP-099,Hebbal,MG Road,via Bellary Road,17.1,53.1,Mekhri Circle,19.8,72.9,via JC Nagar Main Rd,19.5,44.4,Cantonment Station,14.3,58.7,via JC Nagar Main Rd,14.2,Mekhri Circle (via Bellary Road),Take via JC Nagar Main Rd (14.2 mins faster). Avoid Mekhri Circle due to clearance backlog.
TRIP-100,HSR Layout,Manyata Tech Park,via Outer Ring Road,20.1,63.3,Tin Factory,16.7,80,via Old Airport Rd & Suranjandas Rd,24.6,52.1,Kasturi Nagar,20.6,72.7,via Old Airport Rd & Suranjandas Rd,7.3,Tin Factory (via Outer Ring Road),Take via Old Airport Rd & Suranjandas Rd (7.3 mins faster). Avoid Tin Factory due to clearance backlog.
TRIP-101,Jayanagar,ITPL,via Silk Board & ORR,22,49.4,Silk Board Junction,11.9,61.3,via Domlur & HAL,23.4,58.4,Domlur Flyover,12.1,70.5,via Silk Board & ORR,9.2,Domlur Flyover (via Domlur & HAL),Take via Silk Board & ORR (9.2 mins faster). Heavy clearance delay at Domlur Flyover.
TRIP-102,Banashankari,Rajajinagar,via West of Chord Rd,15.1,35.2,Kanankapura Signal,17.3,52.5,via Mysore Road & Magadi Rd,16.1,33.8,Town Hall,11.1,44.9,via Mysore Road & Magadi Rd,7.6,Kanankapura Signal (via West of Chord Rd),Take via Mysore Road & Magadi Rd (7.6 mins faster). Avoid Kanankapura Signal due to clearance backlog.
TRIP-103,BTM Layout,Yelahanka,via Hebbal Expressway,21.1,61.1,Hebbal Flyover,17,78.1,via Outer Ring Road West,22.9,53.3,Goraguntepalya,14.9,68.2,via Outer Ring Road West,9.9,Hebbal Flyover (via Hebbal Expressway),Take via Outer Ring Road West (9.9 mins faster). Avoid Hebbal Flyover due to clearance backlog.
TRIP-104,Marathahalli,Kengeri,via Mysore Road Expressway,24.7,59.9,Nayandahalli,21.8,81.7,via NICE Road,28.9,76.8,NICE Junction,20,96.8,via Mysore Road Expressway,15.1,NICE Junction (via NICE Road),Take via Mysore Road Expressway (15.1 mins faster). Heavy clearance delay at NICE Junction.
TRIP-105,Koramangala,Whitefield,via Marathahalli ORR,12.4,33.9,Marathahalli Multiplex,20.5,54.4,via Varthur Road,14.4,32.9,HAL Airport Road,7.4,40.3,via Varthur Road,14.1,Marathahalli Multiplex (via Marathahalli ORR),Take via Varthur Road (14.1 mins faster). Avoid Marathahalli Multiplex due to clearance backlog.
TRIP-106,Indiranagar,Electronic City,via Hosur Road Flyover,13.7,34.5,Silk Board Junction,24,58.5,via Bannerghatta Road,15.3,31.7,Madiwala Market,10.5,42.2,via Bannerghatta Road,16.3,Silk Board Junction (via Hosur Road Flyover),Take via Bannerghatta Road (16.3 mins faster). Avoid Silk Board Junction due to clearance backlog.
TRIP-107,Hebbal,MG Road,via Bellary Road,20.9,49.3,Mekhri Circle,15.8,65.1,via JC Nagar Main Rd,24.1,55.5,Cantonment Station,4.2,59.7,via JC Nagar Main Rd,5.4,Mekhri Circle (via Bellary Road),Take via JC Nagar Main Rd (5.4 mins faster). Avoid Mekhri Circle due to clearance backlog.
TRIP-108,HSR Layout,Manyata Tech Park,via Outer Ring Road,23.3,65.2,Tin Factory,24,89.2,via Old Airport Rd & Suranjandas Rd,24.9,69.4,Kasturi Nagar,14.5,83.9,via Old Airport Rd & Suranjandas Rd,5.3,Tin Factory (via Outer Ring Road),Take via Old Airport Rd & Suranjandas Rd (5.3 mins faster). Avoid Tin Factory due to clearance backlog.
TRIP-109,Jayanagar,ITPL,via Silk Board & ORR,24,71,Silk Board Junction,16.9,87.9,via Domlur & HAL,26.3,63.8,Domlur Flyover,20.4,84.2,via Domlur & HAL,3.7,Silk Board Junction (via Silk Board & ORR),Take via Domlur & HAL (3.7 mins faster). Avoid Silk Board Junction due to clearance backlog.
TRIP-110,Banashankari,Rajajinagar,via West of Chord Rd,12.8,29.9,Kanankapura Signal,20.2,50.1,via Mysore Road & Magadi Rd,13.8,35.2,Town Hall,9,44.2,via Mysore Road & Magadi Rd,5.9,Kanankapura Signal (via West of Chord Rd),Take via Mysore Road & Magadi Rd (5.9 mins faster). Avoid Kanankapura Signal due to clearance backlog.
TRIP-111,BTM Layout,Yelahanka,via Hebbal Expressway,17.8,43.5,Hebbal Flyover,23.7,67.2,via Outer Ring Road West,20.6,45.6,Goraguntepalya,14.3,59.9,via Outer Ring Road West,7.3,Hebbal Flyover (via Hebbal Expressway),Take via Outer Ring Road West (7.3 mins faster). Avoid Hebbal Flyover due to clearance backlog.
TRIP-112,Marathahalli,Kengeri,via Mysore Road Expressway,16.2,40.9,Nayandahalli,16.7,57.6,via NICE Road,17.7,37.1,NICE Junction,22.3,59.4,via Mysore Road Expressway,1.8,NICE Junction (via NICE Road),Take via Mysore Road Expressway (1.8 mins faster). Heavy clearance delay at NICE Junction.
TRIP-113,Koramangala,Whitefield,via Marathahalli ORR,19.7,58.9,Marathahalli Multiplex,20.4,79.3,via Varthur Road,23.4,56.1,HAL Airport Road,20.4,76.5,via Varthur Road,2.8,Marathahalli Multiplex (via Marathahalli ORR),Take via Varthur Road (2.8 mins faster). Avoid Marathahalli Multiplex due to clearance backlog.
TRIP-114,Indiranagar,Electronic City,via Hosur Road Flyover,21.6,60.2,Silk Board Junction,19.7,79.9,via Bannerghatta Road,25.1,61.5,Madiwala Market,25.2,86.7,via Hosur Road Flyover,6.8,Madiwala Market (via Bannerghatta Road),Take via Hosur Road Flyover (6.8 mins faster). Heavy clearance delay at Madiwala Market.
TRIP-115,Hebbal,MG Road,via Bellary Road,16.7,46.3,Mekhri Circle,20.4,66.7,via JC Nagar Main Rd,19.7,45,Cantonment Station,10.5,55.5,via JC Nagar Main Rd,11.2,Mekhri Circle (via Bellary Road),Take via JC Nagar Main Rd (11.2 mins faster). Avoid Mekhri Circle due to clearance backlog.
TRIP-116,HSR Layout,Manyata Tech Park,via Outer Ring Road,15.1,35.5,Tin Factory,22.9,58.4,via Old Airport Rd & Suranjandas Rd,16.2,35.6,Kasturi Nagar,15.2,50.8,via Old Airport Rd & Suranjandas Rd,7.6,Tin Factory (via Outer Ring Road),Take via Old Airport Rd & Suranjandas Rd (7.6 mins faster). Avoid Tin Factory due to clearance backlog.
TRIP-117,Jayanagar,ITPL,via Silk Board & ORR,14.4,34.2,Silk Board Junction,20.7,54.9,via Domlur & HAL,15.9,43.2,Domlur Flyover,26.7,69.9,via Silk Board & ORR,15,Domlur Flyover (via Domlur & HAL),Take via Silk Board & ORR (15.0 mins faster). Heavy clearance delay at Domlur Flyover.
TRIP-118,Banashankari,Rajajinagar,via West of Chord Rd,17.3,40,Kanankapura Signal,12.2,52.2,via Mysore Road & Magadi Rd,21.6,50.1,Town Hall,22.9,73,via West of Chord Rd,20.8,Town Hall (via Mysore Road & Magadi Rd),Take via West of Chord Rd (20.8 mins faster). Heavy clearance delay at Town Hall.
TRIP-119,BTM Layout,Yelahanka,via Hebbal Expressway,12.1,32.6,Hebbal Flyover,16.1,48.7,via Outer Ring Road West,15.1,38.9,Goraguntepalya,19.8,58.7,via Hebbal Expressway,10,Goraguntepalya (via Outer Ring Road West),Take via Hebbal Expressway (10.0 mins faster). Heavy clearance delay at Goraguntepalya.
TRIP-120,Marathahalli,Kengeri,via Mysore Road Expressway,19,57.7,Nayandahalli,11.1,68.8,via NICE Road,21.8,47.2,NICE Junction,11.3,58.5,via NICE Road,10.3,Nayandahalli (via Mysore Road Expressway),Take via NICE Road (10.3 mins faster). Avoid Nayandahalli due to clearance backlog.
TRIP-121,Koramangala,Whitefield,via Marathahalli ORR,17.5,42.7,Marathahalli Multiplex,16.2,58.9,via Varthur Road,20.2,42.3,HAL Airport Road,19.7,62,via Marathahalli ORR,3.1,HAL Airport Road (via Varthur Road),Take via Marathahalli ORR (3.1 mins faster). Heavy clearance delay at HAL Airport Road.
TRIP-122,Indiranagar,Electronic City,via Hosur Road Flyover,15.8,37.2,Silk Board Junction,5.3,42.5,via Bannerghatta Road,18.4,43.9,Madiwala Market,13.7,57.6,via Hosur Road Flyover,15.1,Madiwala Market (via Bannerghatta Road),Take via Hosur Road Flyover (15.1 mins faster). Heavy clearance delay at Madiwala Market.
TRIP-123,Hebbal,MG Road,via Bellary Road,16.4,37.1,Mekhri Circle,22.3,59.4,via JC Nagar Main Rd,17.7,49.4,Cantonment Station,16.9,66.3,via Bellary Road,6.9,Cantonment Station (via JC Nagar Main Rd),Take via Bellary Road (6.9 mins faster). Heavy clearance delay at Cantonment Station.
TRIP-124,HSR Layout,Manyata Tech Park,via Outer Ring Road,13.1,28.9,Tin Factory,15.9,44.8,via Old Airport Rd & Suranjandas Rd,14.1,29.5,Kasturi Nagar,18.3,47.8,via Outer Ring Road,3,Kasturi Nagar (via Old Airport Rd & Suranjandas Rd),Take via Outer Ring Road (3.0 mins faster). Heavy clearance delay at Kasturi Nagar.
TRIP-125,Jayanagar,ITPL,via Silk Board & ORR,17.4,54.5,Silk Board Junction,21.8,76.3,via Domlur & HAL,19.5,52,Domlur Flyover,15.7,67.7,via Domlur & HAL,8.6,Silk Board Junction (via Silk Board & ORR),Take via Domlur & HAL (8.6 mins faster). Avoid Silk Board Junction due to clearance backlog.
TRIP-126,Banashankari,Rajajinagar,via West of Chord Rd,21.5,51.2,Kanankapura Signal,4.4,55.6,via Mysore Road & Magadi Rd,26.6,54.6,Town Hall,16.8,71.4,via West of Chord Rd,15.8,Town Hall (via Mysore Road & Magadi Rd),Take via West of Chord Rd (15.8 mins faster). Heavy clearance delay at Town Hall.
TRIP-127,BTM Layout,Yelahanka,via Hebbal Expressway,19.5,45.6,Hebbal Flyover,27.6,73.2,via Outer Ring Road West,23.8,62.7,Goraguntepalya,13.9,76.6,via Hebbal Expressway,3.4,Goraguntepalya (via Outer Ring Road West),Take via Hebbal Expressway (3.4 mins faster). Heavy clearance delay at Goraguntepalya.
TRIP-128,Marathahalli,Kengeri,via Mysore Road Expressway,14.1,42.5,Nayandahalli,16.1,58.6,via NICE Road,15.3,38.7,NICE Junction,25.3,64,via Mysore Road Expressway,5.4,NICE Junction (via NICE Road),Take via Mysore Road Expressway (5.4 mins faster). Heavy clearance delay at NICE Junction.
TRIP-129,Koramangala,Whitefield,via Marathahalli ORR,16.1,46.4,Marathahalli Multiplex,14.9,61.3,via Varthur Road,18.8,44.4,HAL Airport Road,27.6,72,via Marathahalli ORR,10.7,HAL Airport Road (via Varthur Road),Take via Marathahalli ORR (10.7 mins faster). Heavy clearance delay at HAL Airport Road.
TRIP-130,Indiranagar,Electronic City,via Hosur Road Flyover,23.7,64.9,Silk Board Junction,16.7,81.6,via Bannerghatta Road,27.8,65.4,Madiwala Market,17.9,83.3,via Hosur Road Flyover,1.7,Madiwala Market (via Bannerghatta Road),Take via Hosur Road Flyover (1.7 mins faster). Heavy clearance delay at Madiwala Market.
TRIP-131,Hebbal,MG Road,via Bellary Road,23.8,55.1,Mekhri Circle,19.9,75,via JC Nagar Main Rd,28,77.1,Cantonment Station,19.7,96.8,via Bellary Road,21.8,Cantonment Station (via JC Nagar Main Rd),Take via Bellary Road (21.8 mins faster). Heavy clearance delay at Cantonment Station.
TRIP-132,HSR Layout,Manyata Tech Park,via Outer Ring Road,13.8,38.9,Tin Factory,18.3,57.2,via Old Airport Rd & Suranjandas Rd,16.7,40.5,Kasturi Nagar,23.7,64.2,via Outer Ring Road,7,Kasturi Nagar (via Old Airport Rd & Suranjandas Rd),Take via Outer Ring Road (7.0 mins faster). Heavy clearance delay at Kasturi Nagar.
TRIP-133,Jayanagar,ITPL,via Silk Board & ORR,21.2,49.7,Silk Board Junction,12.8,62.5,via Domlur & HAL,25.6,55.4,Domlur Flyover,19.2,74.6,via Silk Board & ORR,12.1,Domlur Flyover (via Domlur & HAL),Take via Silk Board & ORR (12.1 mins faster). Heavy clearance delay at Domlur Flyover.
TRIP-134,Banashankari,Rajajinagar,via West of Chord Rd,18.4,42.4,Kanankapura Signal,24,66.4,via Mysore Road & Magadi Rd,22.1,53.7,Town Hall,20.4,74.1,via West of Chord Rd,7.7,Town Hall (via Mysore Road & Magadi Rd),Take via West of Chord Rd (7.7 mins faster). Heavy clearance delay at Town Hall.
TRIP-135,BTM Layout,Yelahanka,via Hebbal Expressway,13.7,41.1,Hebbal Flyover,24,65.1,via Outer Ring Road West,15.5,32.9,Goraguntepalya,11.3,44.2,via Outer Ring Road West,20.9,Hebbal Flyover (via Hebbal Expressway),Take via Outer Ring Road West (20.9 mins faster). Avoid Hebbal Flyover due to clearance backlog.
TRIP-136,Marathahalli,Kengeri,via Mysore Road Expressway,21.4,60.8,Nayandahalli,5.7,66.5,via NICE Road,25.6,65.4,NICE Junction,4.2,69.6,via Mysore Road Expressway,3.1,NICE Junction (via NICE Road),Take via Mysore Road Expressway (3.1 mins faster). Heavy clearance delay at NICE Junction.
TRIP-137,Koramangala,Whitefield,via Marathahalli ORR,15.3,36.4,Marathahalli Multiplex,18.3,54.7,via Varthur Road,17.1,46.6,HAL Airport Road,13.7,60.3,via Marathahalli ORR,5.6,HAL Airport Road (via Varthur Road),Take via Marathahalli ORR (5.6 mins faster). Heavy clearance delay at HAL Airport Road.
TRIP-138,Indiranagar,Electronic City,via Hosur Road Flyover,17.2,54.1,Silk Board Junction,10.1,64.2,via Bannerghatta Road,19.6,41.6,Madiwala Market,14.9,56.5,via Bannerghatta Road,7.7,Silk Board Junction (via Hosur Road Flyover),Take via Bannerghatta Road (7.7 mins faster). Avoid Silk Board Junction due to clearance backlog.
TRIP-139,Hebbal,MG Road,via Bellary Road,18.6,41.3,Mekhri Circle,17.2,58.5,via JC Nagar Main Rd,21.8,58.8,Cantonment Station,11.3,70.1,via Bellary Road,11.6,Cantonment Station (via JC Nagar Main Rd),Take via Bellary Road (11.6 mins faster). Heavy clearance delay at Cantonment Station.
TRIP-140,HSR Layout,Manyata Tech Park,via Outer Ring Road,22.3,63.6,Tin Factory,26.7,90.3,via Old Airport Rd & Suranjandas Rd,23.5,61.5,Kasturi Nagar,16.6,78.1,via Old Airport Rd & Suranjandas Rd,12.2,Tin Factory (via Outer Ring Road),Take via Old Airport Rd & Suranjandas Rd (12.2 mins faster). Avoid Tin Factory due to clearance backlog.
TRIP-141,Jayanagar,ITPL,via Silk Board & ORR,12.9,29.7,Silk Board Junction,25.4,55.1,via Domlur & HAL,13.7,36.6,Domlur Flyover,22.1,58.7,via Silk Board & ORR,3.6,Domlur Flyover (via Domlur & HAL),Take via Silk Board & ORR (3.6 mins faster). Heavy clearance delay at Domlur Flyover.
TRIP-142,Banashankari,Rajajinagar,via West of Chord Rd,13.5,41,Kanankapura Signal,15.5,56.5,via Mysore Road & Magadi Rd,16.8,35.3,Town Hall,22.1,57.4,via West of Chord Rd,0.9,Town Hall (via Mysore Road & Magadi Rd),Take via West of Chord Rd (0.9 mins faster). Heavy clearance delay at Town Hall.
TRIP-143,BTM Layout,Yelahanka,via Hebbal Expressway,23.3,65,Hebbal Flyover,17.9,82.9,via Outer Ring Road West,26.9,62.4,Goraguntepalya,20.7,83.1,via Hebbal Expressway,0.2,Goraguntepalya (via Outer Ring Road West),Take via Hebbal Expressway (0.2 mins faster). Heavy clearance delay at Goraguntepalya.
TRIP-144,Marathahalli,Kengeri,via Mysore Road Expressway,14.7,41.2,Nayandahalli,13.1,54.3,via NICE Road,17.8,37.2,NICE Junction,16.2,53.4,via NICE Road,0.9,Nayandahalli (via Mysore Road Expressway),Take via NICE Road (0.9 mins faster). Avoid Nayandahalli due to clearance backlog.
TRIP-145,Koramangala,Whitefield,via Marathahalli ORR,24,61.1,Marathahalli Multiplex,19.1,80.2,via Varthur Road,26.9,69.7,HAL Airport Road,13.9,83.6,via Marathahalli ORR,3.4,HAL Airport Road (via Varthur Road),Take via Marathahalli ORR (3.4 mins faster). Heavy clearance delay at HAL Airport Road.
TRIP-146,Indiranagar,Electronic City,via Hosur Road Flyover,14.9,34.9,Silk Board Junction,13.7,48.6,via Bannerghatta Road,17,36.4,Madiwala Market,13,49.4,via Hosur Road Flyover,0.8,Madiwala Market (via Bannerghatta Road),Take via Hosur Road Flyover (0.8 mins faster). Heavy clearance delay at Madiwala Market.
TRIP-147,Hebbal,MG Road,via Bellary Road,19.5,43.2,Mekhri Circle,15.8,59,via JC Nagar Main Rd,22.9,58,Cantonment Station,14.5,72.5,via Bellary Road,13.5,Cantonment Station (via JC Nagar Main Rd),Take via Bellary Road (13.5 mins faster). Heavy clearance delay at Cantonment Station.
TRIP-148,HSR Layout,Manyata Tech Park,via Outer Ring Road,18,55.1,Tin Factory,14.9,70,via Old Airport Rd & Suranjandas Rd,20.9,50.7,Kasturi Nagar,7.7,58.4,via Old Airport Rd & Suranjandas Rd,11.6,Tin Factory (via Outer Ring Road),Take via Old Airport Rd & Suranjandas Rd (11.6 mins faster). Avoid Tin Factory due to clearance backlog.
TRIP-149,Jayanagar,ITPL,via Silk Board & ORR,15.9,41.3,Silk Board Junction,16.1,57.4,via Domlur & HAL,17.7,41.4,Domlur Flyover,12.8,54.2,via Domlur & HAL,3.2,Silk Board Junction (via Silk Board & ORR),Take via Domlur & HAL (3.2 mins faster). Avoid Silk Board Junction due to clearance backlog.
TRIP-150,Banashankari,Rajajinagar,via West of Chord Rd,18.1,46.7,Kanankapura Signal,27.9,74.6,via Mysore Road & Magadi Rd,21.3,56.9,Town Hall,9,65.9,via Mysore Road & Magadi Rd,8.7,Kanankapura Signal (via West of Chord Rd),Take via Mysore Road & Magadi Rd (8.7 mins faster). Avoid Kanankapura Signal due to clearance backlog.
